#{"t_start": 1745328176.835186, "env_id": "None"}
2226.873629,77,214.905704
1401.365722,62,215.149926
1573.472171,69,215.444829
1764.006946,66,215.727969
1008.466279,40,215.898759
1903.875117,73,216.180768
1685.807626,65,216.469677
1100.370954,49,216.708773
972.915227,48,216.919562
1687.228287,67,217.189159
897.702793,43,217.372817
1547.633874,60,217.622197
1146.798167,49,217.795779
1293.982048,51,217.985273
886.749741,39,218.166744
1695.365624,61,218.398432
1484.760087,66,219.355255
896.764767,62,219.615135
1561.650554,68,219.888385
871.833342,44,220.066269
1121.113946,49,220.266628
1824.754146,62,220.536253
1197.832061,51,220.762376
1575.450485,60,221.00952
1049.750135,50,221.20315
622.597123,30,221.327395
2098.548214,69,221.601276
891.445293,38,221.77757
2082.759466,73,222.049747
1003.814927,50,222.263829
1317.761102,54,222.449437
2104.048387,73,222.720238
915.115966,61,226.462023
1003.159466,46,226.678192
1545.071531,57,226.893938
1743.523868,66,227.216065
1742.520962,70,227.49555
1591.370481,73,227.787055
1535.015942,58,228.032921
572.999754,36,228.182768
557.60599,29,228.323527
360.445559,33,228.471199
356.724962,29,228.612109
2495.044475,88,228.896166
1873.764353,66,229.167778
984.169614,45,229.354511
674.67025,43,229.529409
898.35184,45,229.733718
1335.04079,53,229.95539
1448.379477,60,230.194982
1165.311592,51,230.436792
283.192965,22,230.52891
2034.225991,88,230.826652
861.943741,40,230.977234
432.258978,30,231.091564
1494.09629,58,231.282267
1491.634218,57,231.535045
791.923986,40,231.688462
664.339376,33,231.849303
2503.606473,85,232.209095
1146.039519,52,232.41551
1272.133484,57,232.641958
1256.879452,52,232.815639
1429.192453,55,233.029754
885.62343,43,233.219819
2907.579142,99,233.591406
796.505542,36,233.744038
2539.84749,87,234.07735
692.973299,34,234.22441
1090.346027,51,234.437
1361.264693,54,237.991524
2731.531435,104,238.400864
3629.301296,124,238.910415
1138.278142,49,239.139996
2827.74316,97,239.517164
2935.619627,98,239.910346
1547.232228,61,240.161976
2065.585891,71,240.443576
1014.223016,44,240.635923
2037.057303,77,241.038595
741.149909,35,241.248235
723.56988,35,241.44229
634.435391,34,241.642789
957.048623,46,241.911391
819.015814,51,242.1581
704.32711,36,242.345579
562.628248,33,242.528188
1471.235332,65,242.808244
2499.346076,82,243.146547
1906.039036,79,243.488829
1665.045076,61,243.752302
2489.274211,83,244.116356
1954.417065,71,244.648671
1218.190009,56,244.94896
1727.439041,60,245.293577
1656.997586,62,245.665102
1217.615203,56,245.980747
2233.210316,84,246.441426
1969.648298,74,246.801162
458.596384,31,246.965639
679.36184,46,247.222241
927.081383,42,247.429873
1192.616385,52,247.663494
607.109217,39,251.027367
2531.95182,84,251.386251
822.248879,40,251.566384
498.213311,26,251.695571
1935.756855,73,252.006735
916.670575,44,252.201024
718.386719,35,252.36441
2412.645204,78,252.698838
1434.568432,59,252.963537
1674.870072,63,253.221878
2353.087985,81,253.555212
2224.119957,74,253.864038
2685.420622,100,254.275657
880.650032,53,254.519182
710.528499,36,254.684361
894.655067,53,254.927444
3095.17392,109,255.422811
2665.815557,92,255.819266
2234.015754,76,256.138269
3374.199645,116,256.595018
1332.556589,59,256.814956
1564.937623,63,257.077309
2722.957367,91,257.46718
3700.588492,116,257.933787
2875.271836,100,258.314871
1774.623075,68,258.569528
1371.850751,55,258.816685
2277.88363,80,259.149004
3308.552579,106,259.6009
1935.21809,74,263.03583
2183.778708,84,263.404465
739.386935,37,263.585532
733.64546,47,263.804255
1091.157643,43,264.003332
1184.581112,56,264.24457
3632.384167,105,264.668009
636.711907,37,264.837249
962.781103,54,265.066968
871.903148,38,265.240578
1308.727208,53,265.468871
2914.09365,92,265.841601
588.017045,36,265.997008
795.610769,40,266.167997
2992.972905,92,266.544842
2229.865461,78,266.895201
856.818365,37,267.043984
1888.468545,70,267.340502
608.154786,31,267.496376
739.110843,41,273.865341
1236.48297,60,274.109056
862.709444,40,274.281292
1622.792305,65,274.552108
688.12109,37,275.446305
1325.844938,48,275.67431
1364.042071,65,275.972252
1018.737228,48,276.191789
2602.788413,91,276.57547
1040.062308,54,276.831957
1291.656781,52,277.069783
773.349032,37,277.239863
763.345633,41,277.442446
2593.787733,88,277.796387
1543.284152,62,278.056834
1685.799626,64,278.322997
1549.807813,65,278.592347
1758.492261,69,282.304645
4278.910695,127,282.847062
1156.749002,53,283.067362
1636.079659,62,283.335154
2213.478329,78,283.652039
422.605646,23,283.765924
1162.764126,47,283.956086
451.191142,32,284.090519
1331.909503,50,284.30418
870.130992,46,284.510712
1157.40002,52,284.720441
2902.332667,97,285.108268
3683.239687,109,285.603126
1240.005606,50,285.818655
812.71102,38,285.998513
2427.119464,82,286.340343
1139.250988,49,286.543936
885.055894,48,286.763278
1203.741524,50,286.974807
1875.799399,72,287.269723
1702.156244,66,287.531992
1720.338233,76,287.83103
775.607744,42,288.015521
694.310015,38,288.178016
2076.301975,70,288.466612
2217.92039,83,288.789683
1468.124784,60,289.053247
1328.571752,51,289.272834
895.964826,43,289.463022
3025.824228,98,289.894974
1979.758018,72,290.194738
2038.435677,71,290.550706
3100.273836,100,294.988375
2610.699187,89,295.43301
1116.797034,47,295.684591
3805.023893,113,296.163385
2981.204404,101,296.620522
2883.983201,86,297.006297
3318.706695,122,297.539232
719.229026,33,297.701676
1638.502724,62,297.974856
930.246022,47,298.174572
765.249273,37,298.355132
544.971526,33,298.491144
3234.597172,104,298.998849
2745.791857,100,299.415622
1996.451909,76,299.714861
788.208897,52,299.974181
2385.231341,78,300.31496
2112.251313,91,300.711262
830.941524,43,300.88176
3221.918617,101,301.285555
976.714173,54,301.502459
1389.504803,59,301.755009
3188.61402,102,302.192093
965.903306,51,302.451373
2254.672289,76,302.807319
1101.22474,48,303.005524
737.425834,36,303.17278
2148.18331,80,303.56488
682.233016,37,303.759688
1482.456988,59,307.491144
856.875905,40,307.696933
481.958599,33,307.86654
808.286315,44,308.074258
2425.773969,89,308.489141
3270.757643,100,308.925156
1574.190093,63,309.23048
2908.524558,90,309.679922
657.12306,35,309.860002
2052.657638,71,310.155086
2619.838465,101,310.625685
973.559831,43,310.819993
1280.366521,59,311.131476
3297.748273,109,311.651001
3361.021036,100,312.072838
2963.322962,105,312.535504
2241.341327,78,312.871768
2710.851855,103,313.293206
1794.835746,64,313.591713
726.378393,38,313.755301
755.039007,42,313.956664
1091.9833,45,314.158731
2179.379497,82,314.516812
1226.24418,56,314.754195
593.159367,35,314.92606
596.858515,30,315.084867
2736.808128,85,315.514715
1124.217301,55,315.805586
1744.125849,63,316.059983
720.977102,38,316.250132
695.395537,41,316.464463
1095.961328,44,316.661414
3140.627272,92,320.368471
793.943002,35,320.548107
1047.845953,48,320.78376
1529.225982,59,321.013838
1083.687768,46,321.214976
1291.794965,52,321.445253
972.638997,42,321.632699
2670.080595,92,322.031312
2933.058476,85,322.375799
2242.528105,80,322.773338
916.374353,45,322.998408
2664.57795,92,323.371862
702.753889,36,323.557189
466.940539,31,323.715579
2840.245322,96,324.097009
1349.180807,51,324.370241
1366.788216,55,324.638148
1968.923001,73,324.926676
780.50167,37,325.094834
3783.414139,115,325.581332
1821.229824,67,325.87396
2027.547288,70,326.157664
3098.72977,101,326.588841
1962.929957,70,326.897194
2523.9371,84,327.259985
1095.636189,50,327.491065
1483.762451,60,327.764858
401.944628,27,327.903522
990.753781,43,328.11218
3178.915907,103,328.505366
449.440367,28,328.637447
3843.349741,113,329.106248
3054.66086,96,332.96722
5351.108429,152,333.590159
3574.522538,104,334.013008
3215.921021,104,334.406518
4238.520154,135,334.930008
1537.761072,61,335.221798
2906.903394,101,335.701276
556.026602,28,335.840682
4815.203035,137,342.391874
1963.663126,78,342.730886
2406.636307,75,343.050264
4960.256141,143,343.699658
923.297355,42,343.911295
1903.477462,71,344.216859
532.632859,30,344.368497
1739.298192,59,344.607762
1098.997586,45,344.83005
2269.143445,80,345.178655
795.61875,40,345.383497
594.862062,34,345.547813
1507.009035,59,345.79896
5298.08628,154,346.40068
1872.570304,72,346.709412
2610.939317,87,347.095321
1467.811666,62,347.371419
789.745455,34,350.723768
522.581408,31,350.871484
1487.288773,78,351.221853
2843.005518,85,351.578661
1094.933928,49,351.815212
2764.93514,87,352.156893
1482.318242,58,352.417978
1271.188137,54,352.653287
4347.937997,130,353.140022
3407.073747,106,353.581895
3016.053106,94,353.98114
961.870831,40,354.190704
1354.21006,52,354.408788
2808.405045,84,354.725847
4688.583782,141,355.316273
1240.342677,51,355.526755
1092.731268,52,355.77326
3524.859579,107,356.222622
3257.128282,109,356.673608
638.354894,36,356.834976
4972.258032,140,357.424231
3220.893413,110,357.862621
2211.622927,72,358.153107
3770.359013,113,358.641222
522.33376,29,358.789389
2446.248318,84,359.128299
1395.542766,58,362.769348
3280.251934,97,363.15976
3361.130844,99,363.590696
5617.158062,161,364.275064
2168.668939,73,364.607493
1892.836386,70,364.889387
3281.076753,98,365.285547
2545.579359,91,365.693956
2316.497581,80,366.084321
1512.820444,62,366.360036
2595.425184,85,366.734596
5936.769437,168,367.485996
2816.354254,86,367.8818
3786.257471,118,368.40853
2382.811025,83,368.830269
1427.222326,52,369.048433
2731.726361,94,369.460687
1210.7391,49,369.700314
1316.131139,60,369.97734
2025.25018,76,370.3093
812.466112,49,370.522161
2802.826149,83,370.861669
2757.996453,102,371.273779
3030.481797,88,371.679148
3911.756885,126,375.698165
580.633233,35,375.88636
3390.17255,108,376.321428
841.096409,41,376.519933
978.072023,46,376.739776
2712.973772,93,377.167858
647.491551,35,377.332289
3379.323267,98,377.745661
4790.25549,134,378.314038
1009.573378,43,378.493038
1400.835558,51,378.727852
1891.47957,71,379.007671
1317.661363,53,379.24179
1311.511237,52,379.486034
1660.464299,60,379.762864
1145.707399,48,380.007616
3355.331642,101,380.464526
885.865471,52,380.727986
951.215528,41,380.923525
2379.508478,84,381.287464
950.982314,43,381.483195
2820.212424,82,381.866733
2848.149465,86,382.282739
345.282625,21,382.401283
4275.804178,132,382.963891
2501.669915,82,383.306926
2313.623479,76,383.612105
2567.06018,92,383.988894
2384.530716,79,387.464655
4709.045372,135,387.985545
2648.623124,80,388.310058
2396.794926,84,388.653879
4150.604857,151,389.310015
1261.381743,53,389.572828
754.986305,40,389.741575
2099.301197,74,390.03085
3220.310262,97,390.437481
5708.544904,156,391.06639
2918.978235,105,391.498405
493.78861,36,391.681102
2502.967259,79,392.009375
2760.20335,89,392.357561
6113.288044,175,393.052735
3258.606926,101,393.483074
3524.998079,105,393.920199
312.369821,28,394.042918
592.021282,33,394.18774
2774.346076,82,394.590092
3043.708064,97,395.002244
2805.289049,89,395.387385
3563.245332,106,395.860007
4390.189172,126,400.097885
1549.972255,53,400.346556
6028.19129,168,401.000774
1780.454505,76,401.299989
2859.57121,84,401.647733
1557.533435,70,401.962678
1539.08897,70,406.861715
2918.990344,87,407.173196
4394.652574,137,407.676714
747.324252,33,407.809081
1482.041559,60,408.062885
3878.325464,113,408.49307
3411.477659,102,408.867648
3029.859106,91,409.227259
465.88699,26,409.355253
4110.649342,121,409.777918
1238.394256,47,409.965876
892.371496,43,410.132529
546.637076,32,410.269407
556.925317,35,410.450145
1949.8595,67,410.7276
3635.230001,107,411.198182
3305.869747,105,411.624608
2953.539928,93,411.971947
4390.580038,141,415.918687
8276.819006,228,416.941668
2828.162717,94,417.361062
3180.088822,97,417.789354
5860.94579,176,418.54383
1875.720085,66,418.843422
5694.692152,156,419.511039
965.565939,46,419.709721
833.023006,41,419.914993
759.876053,35,420.083929
4404.607183,128,420.619995
1558.527602,60,420.907162
3473.422139,108,421.38046
3110.501749,90,421.804403
1486.09966,66,422.13712
3030.526233,94,422.57209
722.827479,38,422.767327
5528.191783,147,423.505409
2967.962412,96,424.041712
1130.249865,49,424.328405
5674.351741,154,425.26862
1929.281492,71,426.802885
5883.263166,166,431.552262
5103.749042,145,432.400696
5613.444111,155,433.497417
3426.252328,108,434.090274
2166.372403,91,434.764784
1058.371545,48,435.044527
5178.423686,161,435.81826
5072.537701,142,436.469109
3486.282575,109,436.994739
2193.9826,73,437.371711
1906.46692,70,437.725732
5605.753387,154,438.427384
3166.940293,99,438.898738
3834.802,117,439.462873
2457.860722,83,439.838768
5506.524656,148,440.517965
3050.969555,103,441.113096
5393.881915,148,445.734019
4089.929386,143,446.39839
811.353909,35,446.574274
5178.775851,151,447.20496
3178.788265,99,447.616008
1929.595202,72,447.928136
5422.353515,146,448.519875
2350.832849,84,448.874744
2123.345327,71,449.184058
2936.58727,86,449.54801
2614.786876,93,449.909947
1211.614217,52,450.131551
1157.720676,48,450.338563
5402.560274,148,450.908953
3985.304123,127,451.440861
2894.265964,96,451.855381
650.661806,35,452.017613
4150.753387,120,452.523961
781.875018,40,452.707167
859.894428,46,452.907473
2987.94384,97,453.34076
4542.110222,131,453.872011
5126.133366,156,457.76354
5568.550963,152,458.413603
3404.620503,102,458.843238
6183.496133,180,459.551039
4236.650466,126,460.066278
5617.629982,150,460.672148
2542.018159,82,461.031598
3137.989162,94,461.412149
4387.760875,151,462.054896
5353.87226,148,462.656984
5517.270013,147,463.264167
5466.097591,147,463.901325
783.990098,39,464.098763
3201.101138,100,464.488685
705.378245,40,464.680249
5428.817725,147,465.305119
4673.491404,135,465.89523
1599.952086,59,469.283327
3288.641766,114,469.735698
1694.03744,91,470.111957
1852.067875,63,470.37894
2482.800852,85,474.27751
2998.631854,90,474.663171
3048.681216,99,475.070357
2119.557929,70,475.348668
5489.809252,168,476.026246
2998.149712,102,476.435738
2827.383122,88,476.806839
4409.484014,126,477.374334
4431.274496,126,477.948252
2814.318538,86,478.349467
7943.60806,224,479.174729
7149.823587,208,480.117027
5565.698606,158,480.729367
5164.363545,147,484.481546
1410.646623,55,484.716856
5800.652052,158,485.382191
2146.029115,73,485.687081
2341.095665,83,486.052081
2859.72439,91,486.443535
2762.613961,90,486.809385
3632.275876,110,487.269503
1682.016464,61,487.538208
2764.170698,83,487.878739
3046.399429,94,488.251133
6961.025568,196,489.088755
5187.877186,139,489.725937
5681.863392,156,490.408329
5264.175083,155,491.010967
2015.512932,77,491.356362
2051.129376,70,491.679853
5729.292034,158,492.289859
4309.611055,127,492.781666
2751.149712,79,496.282448
5488.427804,145,496.864788
5707.013203,164,497.524385
5311.245697,146,498.079992
304.263658,20,498.187275
7114.015863,203,498.968752
2242.413065,74,499.293422
2821.913001,81,499.604761
4120.076753,123,500.077248
2965.696241,105,500.482834
3139.718311,86,500.821273
5610.609537,149,501.401723
3293.815705,98,501.787965
3080.920095,100,502.256804
2788.976905,92,502.649358
985.374058,46,502.865828
1253.30971,49,503.071851
948.203409,46,503.31359
3772.899709,112,503.814245
5492.978226,151,504.495459
3790.978245,114,508.302019
3729.298291,112,508.73815
639.905513,31,508.887439
2930.498842,86,509.250645
4255.523356,126,509.766354
6486.455077,188,510.588974
5663.82477,153,511.154054
3301.124863,97,511.532867
5546.042662,148,512.11683
5512.347061,146,512.692502
1987.180945,65,512.965451
2006.437992,66,513.242397
1473.534164,54,513.481248
4699.562639,139,514.030768
5650.703384,158,514.678203
5608.714863,152,515.281098
5689.166806,158,515.917091
5084.142372,142,519.775243
3171.005468,118,520.293641
3234.118725,92,520.703918
2710.231341,82,521.025482
4204.877974,127,521.56633
2979.556195,97,521.979913
1200.770432,50,522.172173
2913.6789,87,522.572273
5934.271146,165,523.228611
2974.195409,92,523.624478
5639.232228,154,524.238358
5362.630001,149,524.83316
2260.906744,86,525.200962
1139.960688,54,525.449737
3363.322469,100,525.840408
3177.645303,94,526.241573
5487.651264,148,526.887942
2189.991339,70,527.211145
2822.870191,82,527.604782
3708.142372,108,528.048469
2672.589142,88,531.408329
6168.772107,173,536.91505
2731.361348,78,537.267061
3043.73846,92,537.684533
5785.004582,164,538.343804
2929.204148,87,538.738912
5489.133307,143,539.27158
1185.209961,179,539.985208
5783.267304,158,540.601976
5627.531947,163,541.276548
5512.079334,154,541.890793
8490.316863,237,542.800554
5720.54116,156,543.427351
6230.067245,176,544.117033
2663.794128,90,547.833793
1027.062634,62,548.134612
2862.978866,88,548.576199
475.853687,25,548.716753
2493.077344,81,549.071105
2812.698113,87,549.415282
2168.245086,73,549.738202
8311.632691,237,550.712304
4851.175881,135,551.291689
5511.419577,153,551.943071
5701.509779,157,552.620746
918.964777,41,552.807577
2878.688704,85,553.134289
3052.651313,94,553.513992
2682.233381,83,553.865605
3257.625745,97,554.278287
5482.588699,147,554.839206
5594.978767,153,555.43881
5113.603084,142,555.984972
3021.676437,89,559.642407
3279.974777,102,560.117539
4929.764274,140,560.716837
5636.39332,155,561.401691
5548.613823,149,562.050493
4593.629962,139,562.640015
4838.597222,136,563.168595
5563.598995,147,563.712331
2864.389477,86,564.057218
2698.895611,80,564.438122
5582.048111,160,565.107965
3712.879728,110,565.565991
2705.041726,76,565.881202
3039.323711,89,566.273623
4745.406946,140,566.83268
3378.433125,106,567.267024
2774.592936,83,567.616416
5828.873787,170,571.574862
6368.344894,178,572.359287
5378.71038,145,572.941408
5443.184393,151,573.562753
2332.733287,87,573.933285
8233.280802,229,574.822946
3000.11104,93,575.22268
2802.319474,84,575.556733
5240.398837,158,576.209465
3046.367407,95,576.575545
3632.666732,104,577.051626
2675.756924,81,577.411478
1142.596049,48,577.605639
2901.990177,95,578.042138
5477.465639,146,578.636602
5510.439036,150,579.260515
3586.097177,146,583.152572
5648.698655,153,583.735241
2284.22472,78,584.04848
5816.740726,158,584.658972
5525.463471,150,585.274757
5542.744864,150,585.862388
3731.996108,108,586.292259
5579.709936,162,586.961177
5600.372137,151,587.586106
1794.064141,65,587.887754
4819.565742,138,588.430506
5779.846199,164,589.050343
764.54015,35,589.206183
3503.102468,109,589.650479
4560.468476,133,590.143666
3070.126213,93,590.463746
7665.656545,233,598.132354
3069.204148,86,598.448931
5012.362136,143,598.973891
8239.846052,225,599.896087
5502.349574,150,600.482862
2890.053392,95,600.97623
5841.188679,161,601.626194
2901.647914,89,602.019365
4087.227548,121,602.514108
3627.864575,107,602.924432
5148.061136,155,603.543727
5208.566087,143,604.061016
2808.263609,85,604.437584
5404.89566,148,605.015747
8310.444209,229,605.839311
4438.07355,126,609.916289
3917.330066,119,610.40154
3595.480871,124,610.876359
3142.859008,98,611.322616
4862.20671,139,611.927722
5052.183457,144,612.504952
5364.363052,152,613.156214
7978.522735,223,614.135746
3476.984383,98,614.545395
2814.592837,81,614.891626
2824.218306,88,615.318874
5510.72974,146,615.867109
8261.499039,227,616.780654
5484.114784,148,617.347308
2145.507394,78,617.718473
5810.852209,160,621.519951
2841.396916,86,621.920546
5509.303414,153,622.547722
5482.20001,148,623.138407
5422.016947,146,623.707906
5752.906005,157,624.336771
3488.562195,99,624.786476
3572.92842,109,625.230799
3213.022464,97,625.667906
4315.862752,121,626.174263
5739.157742,158,626.850998
2893.371989,86,627.243405
5918.042909,163,627.938055
5564.039657,148,628.543626
4778.165387,145,629.175201
4566.145721,133,629.750681
5486.40465,148,633.394632
2817.195576,83,633.745945
8609.219627,231,634.679235
5004.777679,148,635.228964
3547.351347,108,635.657126
5469.028474,147,636.280197
5539.762156,147,636.841409
3213.649756,120,637.361328
7869.062121,216,638.217263
5313.807183,143,638.810271
2807.844968,86,639.168854
4951.975565,136,639.734438
5559.536086,153,640.36904
8332.735701,235,641.254198
6184.134145,174,645.032105
8233.43278,231,645.968688
2698.536194,83,646.316918
5565.577861,150,646.902818
5863.541849,160,647.579022
3343.064092,98,647.977296
3172.018129,97,648.370674
5568.763338,150,648.975693
4328.172915,125,649.508039
5681.275334,153,650.095726
5014.428524,159,650.709535
2764.651559,82,651.006652
5518.790285,146,655.128121
1248.16385,52,655.330962
5656.303168,153,655.928176
8260.148086,239,660.02321
8260.148086,239,660.761868
8260.148086,239,661.522044
8260.148086,239,662.220362
8260.148086,239,662.947947
8260.148086,239,663.66595
8260.148086,239,664.396008
8260.148086,239,665.101878
8260.148086,239,665.784224
8260.148086,239,666.505805
